lluvia,geometry
103.0,"POLYGON ((-70.4009688164469 -34.70191942553712, -70.4009688164469 -34.746835189743095, -70.34706989939973 -34.746835189743095, -70.34706989939973 -34.70191942553712, -70.4009688164469 -34.70191942553712))"
102.0,"POLYGON ((-70.34706989939973 -34.70191942553712, -70.34706989939973 -34.746835189743095, -70.31113728803496 -34.746835189743095, -70.31113728803496 -34.70191942553712, -70.34706989939973 -34.70191942553712))"
24.0,"POLYGON ((-72.15268362047998 -34.746835189743095, -72.15268362047998 -34.800734106790266, -72.0987847034328 -34.800734106790266, -72.0987847034328 -34.746835189743095, -72.15268362047998 -34.746835189743095))"
50.0,"POLYGON ((-72.0987847034328 -34.746835189743095, -72.0987847034328 -34.800734106790266, -72.05386893922682 -34.800734106790266, -72.05386893922682 -34.746835189743095, -72.0987847034328 -34.746835189743095))"
52.0,"POLYGON ((-72.05386893922682 -34.746835189743095, -72.05386893922682 -34.800734106790266, -71.99997002217965 -34.800734106790266, -71.99997002217965 -34.746835189743095, -72.05386893922682 -34.746835189743095))"
55.0,"POLYGON ((-71.99997002217965 -34.746835189743095, -71.99997002217965 -34.800734106790266, -71.94607110513248 -34.800734106790266, -71.94607110513248 -34.746835189743095, -71.99997002217965 -34.746835189743095))"
69.0,"POLYGON ((-71.94607110513248 -34.746835189743095, -71.94607110513248 -34.800734106790266, -71.90115534092651 -34.800734106790266, -71.90115534092651 -34.746835189743095, -71.94607110513248 -34.746835189743095))"
81.0,"POLYGON ((-71.84725642387933 -34.746835189743095, -71.84725642387933 -34.800734106790266, -71.80234065967336 -34.800734106790266, -71.80234065967336 -34.746835189743095, -71.84725642387933 -34.746835189743095))"
82.0,"POLYGON ((-71.80234065967336 -34.746835189743095, -71.80234065967336 -34.800734106790266, -71.74844174262618 -34.800734106790266, -71.74844174262618 -34.746835189743095, -71.80234065967336 -34.746835189743095))"
88.0,"POLYGON ((-71.74844174262618 -34.746835189743095, -71.74844174262618 -34.800734106790266, -71.7035259784202 -34.800734106790266, -71.7035259784202 -34.746835189743095, -71.74844174262618 -34.746835189743095))"
65.0,"POLYGON ((-71.59572814432586 -34.746835189743095, -71.59572814432586 -34.800734106790266, -71.5508123801199 -34.800734106790266, -71.5508123801199 -34.746835189743095, -71.59572814432586 -34.746835189743095))"
